IDProtocollo,Progressivo,IDVeicolo,TipoVeicolo,StatoVeicolo,Marca,Modello
2685863,2,1035040,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2685869,1,1035026,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2685869,2,1035035,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3 Picasso
2685869,3,1035038,Autovettura privata,In marcia / fermata / arresto,Hyundai,Atos
2685884,1,1035057,Autovettura privata,In marcia / fermata / arresto,Toyota,Rav 4
2685884,2,1035059,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Bravo
2685891,1,1035036,Autovettura privata,In marcia / fermata / arresto,Fiat,Seicento
2685891,2,1035039,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Autocarro Fiat,(ignoto)
2685903,1,1035044,Autovettura privata,In marcia / fermata / arresto,BMW,118 D
2685903,2,1035045,Autovettura privata,In marcia / fermata / arresto,Dacia.,Duster
2685912,1,1035049,Autotreno,In marcia / fermata / arresto,Scania,470
2685913,1,1035048,Autocaravan,In marcia / fermata / arresto,Fiat,Ducato
2685913,2,1035055,Autobus di linea,In marcia / fermata / arresto,Fiat,Iveco
2685913,3,1035070,Autovettura privata,Sosta,Ford,Focus
2685919,1,1035051,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2685919,2,1035061,Autovettura privata,In marcia / fermata / arresto,Fiat,500 L
2685920,1,1035052,Autovettura privata,In marcia / fermata / arresto,Fiat,Multipla
2685921,1,1035050,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2685932,1,1035060,Motociclo a solo,In marcia / fermata / arresto,Honda,FJS 400 D
2685932,2,1035877,Autovettura privata,Allontanatosi,Ford,Fiesta
2685936,1,1035065,Autovettura privata,In marcia / fermata / arresto,Ford,Mondeo
2685936,2,1035068,Autovettura privata,In marcia / fermata / arresto,Ford,Fusion
2685943,1,1035074,Autovettura privata,In marcia / fermata / arresto,Fiat,Seicento
2685943,2,1035098,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2685947,1,1035083,Motociclo a solo,In marcia / fermata / arresto,Honda,CBR 600F
2685975,1,1035077,Autoarticolato,In marcia / fermata / arresto,Renault,Trucks
2685978,1,1035078,Autovettura privata,In marcia / fermata / arresto,Citroen,C 2
2685978,2,1035093,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2685981,1,1035216,Autovettura privata,In marcia / fermata / arresto,Daewoo,Matiz
2685981,2,1035218,Autovettura privata,In marcia / fermata / arresto,Hyundai,GETZ
2685982,1,1035104,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,YPSILON
2685982,2,1035117,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2685983,1,1035229,Autovettura privata,In marcia / fermata / arresto,Mercedes,E 350
2685983,2,1035233,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,(ignoto)
2685987,1,1035081,Autovettura privata,In marcia / fermata / arresto,Ford,Fusion
2685987,2,1035091,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2685987,3,1035110,Autovettura privata,Sosta,Mercedes,Smart Fortwo
2685992,1,1035084,Autovettura privata,In marcia / fermata / arresto,Land Rover,Freelander
2685992,2,1035092,Autovettura privata,In marcia / fermata / arresto,Alfa Lancia,Y
2685994,1,1035086,Autovettura privata,Sosta,Renault,Megane
2685994,2,1035096,Ciclomotore,Sosta,Automobiles Ligier,(non accertato)
2685994,3,1039356,Autovettura privata,Allontanatosi,(ignoto),(non accertato)
2686001,1,1035116,Autovettura privata,In marcia / fermata / arresto,Toyota,VERSO
2686001,2,1035128,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2686009,1,1035144,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2686009,2,1035149,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2686017,1,1035178,Altro,In marcia / fermata / arresto,(ignoto),(non accertato)
2686017,2,1035192,Altro,In marcia / fermata / arresto,(ignoto),(ignoto)
2686018,1,1045753,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,MITO
2686018,2,1045766,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2686019,1,1035113,Autovettura privata,In marcia / fermata / arresto,Smart ,-
2686019,2,1035114,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2686019,3,1035115,Autovettura privata,Sosta,Lancia,Y
2686032,1,1035111,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2686032,2,1035112,Autovettura privata,In marcia / fermata / arresto,Hyundai,Coup�
2686068,1,1035118,Autovettura privata,In marcia / fermata / arresto,Mercedes,E220
2686068,2,1035120,Autovettura privata,In marcia / fermata / arresto,Mercedes,A150
2686074,1,1035122,Autoveicolo trasp.promisc.,In marcia / fermata / arresto,Volkswagen,Touran
2686077,1,1035124,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo
2686077,2,1035126,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2686085,1,1035162,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Stilo
2686085,2,1035163,Autovettura privata,In marcia / fermata / arresto,Mini,One
2686085,3,1035165,Autovettura privata,Sosta,Ford,Fiesta
2686090,1,1035127,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2686090,2,1035129,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2686090,3,1035133,Autovettura privata,Sosta,Toyota,Yaris
2686090,4,1035136,Autovettura privata,Sosta,Citroen,C 3
2686129,1,1035142,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2686129,2,1035147,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2686154,1,1035140,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2686154,2,1035141,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2686156,1,1035143,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2686156,2,1035145,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2686156,3,1035158,Autovettura privata,In marcia / fermata / arresto,Audi,A 4
2686156,4,1035176,Autovettura privata,In marcia / fermata / arresto,Magyar Suzuki,(ignoto)
2686167,1,1035160,Motociclo a solo,In marcia / fermata / arresto,Kawasaki,ER300
2686167,2,1035166,Autovettura privata,In marcia / fermata / arresto,Citroen,C 4
2686169,1,1035156,Motociclo a solo,In marcia / fermata / arresto,Kymco,AGILITY
2686169,2,1035159,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,147
2686170,1,1035153,Autovettura privata,In marcia / fermata / arresto,Daimler,A160
2686170,2,1035161,Autovettura privata,In marcia / fermata / arresto,BMW,X1
2686185,2,1035221,Autovettura privata,Sosta,Renault,Scenic
2686185,3,1035228,Autovettura privata,Sosta,Ford,Fiesta
2686191,1,1035164,Autovettura privata,In marcia / fermata / arresto,Citroen,C1
2686191,2,1035175,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Nissan,(non accertato)
2686200,1,1035167,Autovettura privata,In marcia / fermata / arresto,Ford,j-max
2686200,2,1035174,Autovettura privata,In marcia / fermata / arresto,Dacia,Sandero
2686202,1,1035169,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2686202,2,1035171,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2686210,1,1035179,Autovettura privata,In marcia / fermata / arresto,Audi,A4
2686210,2,1035181,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2686210,3,1035182,Autovettura privata,Sosta,Nissan,Micra
2686218,1,1035185,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2686218,2,1035186,Autovettura privata,In marcia / fermata / arresto,Citroen,C4 Picasso
2686221,1,1035191,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2686221,2,1035193,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2686231,1,1035188,Autovettura privata,In marcia / fermata / arresto,Peugeot,107
2686231,2,1035189,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2686243,1,1035194,Autovettura privata,In marcia / fermata / arresto,Mercedes,B180
2686243,2,1035198,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2686253,1,1035196,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2686253,2,1035202,Autovettura privata,In marcia / fermata / arresto,Fiat,Croma
2686269,1,1035203,Motociclo a solo,In marcia / fermata / arresto,Honda,SH150
2686269,2,1035205,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Passat
2686275,1,1035207,Autovettura privata,In marcia / fermata / arresto,BMW,320 D
2686275,2,1035208,Autovettura privata,Sosta,Citroen,C3
2686286,1,1035210,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2686286,2,1035211,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2686286,3,1035215,Autovettura privata,In marcia / fermata / arresto,Toyota,Aygo
2686335,1,1035217,Autovettura privata,In marcia / fermata / arresto,Fiat,Grande Punto
2686335,2,1035222,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2686335,3,1035227,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2686374,1,1035230,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2686374,2,1035232,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2686404,1,1035932,Motociclo con passeggero,In marcia / fermata / arresto,Honda,Hornet
2686410,1,1035234,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2686410,2,1035236,Autovettura privata,In marcia / fermata / arresto,Chrysler,(ignoto)
2686427,1,1035237,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2686427,2,1035238,Autovettura privata,Sosta,Nissan,Micra
2686427,3,1035241,Autovettura privata,Sosta,Chevrolet,spark
2686427,4,1035243,Autovettura privata,Sosta,Toyota,Rav 4
2686427,5,1035245,Autovettura privata,Sosta,Fiat,Punto
2686452,1,1035250,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two
2686452,2,1035325,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva
2686522,1,1035259,Autovettura privata,In marcia / fermata / arresto,Fiat,500
2686536,1,1035263,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2686536,2,1035264,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2686690,1,1035305,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2686690,2,1038523,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2686704,1,1035307,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2686704,2,1035308,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2686704,3,1035309,Autovettura privata,Sosta,Mercedes,Smart
2686704,4,1035310,Autovettura privata,Sosta,Jeep,(ignoto)
2686704,5,1035311,Autovettura privata,Sosta,Lancia,Y
2686729,1,1035312,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo
2686729,2,1035313,Motociclo a solo,In marcia / fermata / arresto,Triumph,Tiger
2686733,1,1035577,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
