ID,Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,Strada02,Strada1,Strada2,Chilometrica,DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,Longitudine,Latitudine,CONFERMATO
2640746,10,2/1/16 1:25,Strada Urbana,in prossimit•À_,del civico n.,VIA APPIA NUOVA,,860,,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,1,0,0,2,"125,514","4,184,613",True
2640756,1,2/1/16 8:10,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE RAFFAELLO SANZIO,,12,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,0,0,0,1,"1,247,338","418,905",True
2641419,9,2/1/16 8:10,,all'intersezione semaforizzata con,VIA MONSELICE,VIA TUSCOLANA,VIA MONSELICE,,,Scontro laterale fra veicoli in marcia,,,,,,,,,,2,0,0,1,,,False
2640282,7,2/1/16 8:10,Strada Urbana,all'intersezione con,VIA DEI CASTANI,VIA DEI GELSI,VIA DEI CASTANI,,,Investimento di pedone,Incrocio,Una carreggiata a doppio senso,Bagnato (pioggia),Asfaltata,Orizzontale,Nuvoloso,Normale,Sufficiente,Ore Diurne,1,0,0,1,"1,256,533","4,188,851",True
2640407,15,2/1/16 8:25,Strada Urbana,all'intersezione semaforizzata con,VIA DEGLI ALAGNO,VIALE ARTURO MARTINI,VIA DEGLI ALAGNO,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,1,0,0,1,"1,241,417","4,184,736",True
2640743,1,2/1/16 8:50,Strada Urbana,in corrispondenza,del civico n.,LUNGOTEVERE DEI VALLATI,,25,,Infortunio per sola frenata improvvisa,Curva a visuale libera,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,1,0,0,1,"1,247,376","4,189,187",True
2642696,1,2/1/16 8:55,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE DE' CENCI,,4,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Sdrucciolevole (fango),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Scarso,Buona,Ore Diurne,0,0,0,4,"1,247,535","4,189,196",True
2640749,1,2/1/16 8:55,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE DEI VALLATI,,21,,Veicolo in marcia contro veicolo in sosta,Curva a visuale libera,Una carreggiata a senso unico di marcia,Sdrucciolevole (fango),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,0,0,0,1,"1,247,345","418,917",True
2642781,1,2/1/16 9:00,Strada Urbana,in corrispondenza,del civico n.,LUNGOTEVERE DE' CENCI,,4B,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Sdrucciolevole (fango),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Scarso,Buona,Ore Diurne,0,0,0,1,"1,247,535","4,189,196",True
2640737,1,2/1/16 9:00,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE DE' CENCI,,3,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Sdrucciolevole (pietrisco),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Sufficiente,Ore Diurne,0,0,0,1,"1,247,511","4,189,191",False
2640726,1,2/1/16 9:05,Strada Urbana,da specificare,,LUNGOTEVERE RAFFAELLO SANZIO,,,PROSSIMITA' VIA DEL POLITEAMA,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Scarso,Buona,Ore Diurne,1,0,0,0,"1,247,209","4,189,077",False
2642629,17,2/1/16 9:15,Strada Urbana,in prossimit•À_,del palo luce n.,VIALE DELLO STADIO OLIMPICO,,29/30,,Ribaltamento senza urto contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Bagnato (pioggia),Asfaltata,Verticale,Pioggia in atto,Scarso,Buona,Ore Diurne,0,0,0,2,"1,245,365","4,193,099",True
2640394,13,2/1/16 9:15,Strada Urbana,da specificare,,VIALE DEI ROMAGNOLI,,,prossimit•À_ Via Felice da Garessio,Tamponamento,Rettilineo,Una carreggiata a doppio senso,Bagnato (pioggia),,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,0,0,0,2,,,False
2644783,1,2/1/16 9:20,Strada Urbana,in prossimit•À_,del civico n.,LUNGOTEVERE DE' CENCI,,5,,Tamponamento Multiplo,Rettilineo,Una carreggiata a senso unico di marcia,Sdrucciolevole (fango),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Scarso,Buona,Ore Diurne,0,0,0,4,"1,247,558","4,189,186",True
2640763,1,2/1/16 9:30,Strada Urbana,in corrispondenza,del civico n.,LUNGOTEVERE RAFFAELLO SANZIO,,9,,Veicolo in marcia contro veicolo fermo,Rettilineo,Una carreggiata a senso unico di marcia,Viscido da liquidi oleosi,Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,0,0,0,2,"1,247,184","4,189,085",True
2640293,7,2/1/16 9:30,Strada Urbana,all'intersezione con,VIA ARENA,VIA DEI CICLAMINI,VIA ARENA,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Sufficiente,Ore Diurne,0,0,0,2,"1,256,574","4,189,283",True
2641475,4,2/1/16 9:30,Strada Urbana,all'intersezione con,VIA ROSINA ANSELMI,VIA GIUSEPPE IMER,VIA ROSINA ANSELMI,,,Tamponamento,Incrocio,Una carreggiata a senso unico di marcia,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,0,0,0,2,"1,253,179","4,196,666",True
2641549,2,2/1/16 9:55,Strada Urbana,da specificare,,VIA DEL FORO ITALICO,,,alt. palo acea n. 295,Ribaltamento senza urto contro ostacolo fisso,Rettilineo,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Normale,Buona,Ore Diurne,1,0,0,1,"1,248,278","4,194,005",False
