_IDProtocollo,_IDVeicolo,_Progressivo,_TipoPersona,_AnnoNascita,_Sesso,_TipoLesione,_Deceduto,_CinturaCascoUtilizzato,_DecedutoDopo,__prefix,_Airbag
2573511,1004727,1,Conducente,1978,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2573526,1004741,2,Conducente,1966,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573536,1004740,1,Conducente,1975,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573676,1004787,1,Conducente,0,F,Ricoverato,False,,NON DECEDUTO,z,
2573744,1004807,1,Conducente,1995,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2573747,1004811,2,Conducente,1941,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,Esploso
2573832,1004833,1,Conducente,1987,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2573832,1004833,1,Passeggero,1998,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2574143,1004977,2,Conducente,1993,M,Prognosi riservata,False,Non accertato,DECEDUTO DA 25 A 48 ORE DOPO,z,
2574149,1004899,1,Conducente,1963,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2574237,1004923,2,Conducente,1963,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2574244,1004950,2,Conducente,1991,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
